56728,Black,167
56729,Black,213
56732,Black,82
56734,Black,80
56735,Black,404
56738,Black,122
56739,Black,79
56743,Black,229
56744,White,403
56748,Black,345
56752,Black,130
56754,Black,205
56756,Black,163
56757,Black,200
56759,Black,324
56761,Black,79
56765,White,221
56768,Asian/Pacific Islander,204
56769,Hispanic,188
56773,White,109
56774,Black,158
56776,Black,350
56778,Black,206
56782,Hispanic,207
56783,Black,409
56784,Black,112
56789,Black,967
56790,Black,177
56794,Hispanic,160
56796,Black,226
56797,White,77
56798,White,461
56799,White,288
56800,Black,171
56801,Black,211
56802,Black,211
56803,Black,150
56805,Black,142
56806,Hispanic,143
56807,Hispanic,113
56813,Black,1541
56814,Black,196
56820,Black,1056
56822,White,243
56823,Black,916
56824,Black,190
56827,Black,134
56829,Black,340
56832,Black,208
56834,Black,161
56835,Black,312
56836,Black,162
56839,Black,145
56842,Black,210
56843,Hispanic,199
56843,White,199
56846,Black,158
56847,Black,74
56849,Black,90
56851,Black,259
56852,Black,194
56856,Black,158
56864,Black,153
56868,Hispanic,186
56871,Asian/Pacific Islander,167
56872,White,219
56873,Black,104
56874,White,193
56876,Black,167
56878,Black,2094
56879,White,72
56880,Black,178
56881,Hispanic,72
56882,Black,488
56883,White,156
56887,White,152
56889,White,138
56897,Hispanic,302
56898,White,87
56900,Black,102
56902,Hispanic,102
56905,Black,87
56908,White,375
56911,Black,120
56914,Black,112
56916,Black,140
56917,Black,161
56920,Black,152
56921,Black,
56922,Black,184
56924,Black,139
56925,Black,69
56929,Black,100
56931,White,152
56936,Black,761
56937,Black,117
56941,Black,300
56944,Hispanic,201
56947,Black,194
56948,Black,197
56951,Hispanic,153
56952,Black,68
56954,Black,628
56957,Black,106
56960,Black,187
56963,Black,231
56965,Black,151
56966,Black,676
56967,Black,151
56971,Black,354
56972,Black,193
56973,Black,138
56978,Black,178
56980,Black,116
56982,Black,150
56983,Black,193
56984,Asian/Pacific Islander,140
56990,Black,166
56991,Black,482
56993,Black,192
56994,White,152
56995,Black,165
56997,Black,304
57001,Black,96
