race,allegation_id
Asian/Pacific Islander,80291
Asian/Pacific Islander,80474
Asian/Pacific Islander,80474
Asian/Pacific Islander,80474
Asian/Pacific Islander,80474
Asian/Pacific Islander,80699
Asian/Pacific Islander,80699
Asian/Pacific Islander,80772
Asian/Pacific Islander,80782
Asian/Pacific Islander,81080
Asian/Pacific Islander,81456
Asian/Pacific Islander,81463
Asian/Pacific Islander,81463
Asian/Pacific Islander,81647
Asian/Pacific Islander,82124
Asian/Pacific Islander,82333
Asian/Pacific Islander,82406
Asian/Pacific Islander,82406
Asian/Pacific Islander,82406
Asian/Pacific Islander,82406
Asian/Pacific Islander,82406
Asian/Pacific Islander,82406
Asian/Pacific Islander,82406
Asian/Pacific Islander,82438
Asian/Pacific Islander,82491
Asian/Pacific Islander,82491
Asian/Pacific Islander,82514
Asian/Pacific Islander,82514
Asian/Pacific Islander,82811
Asian/Pacific Islander,82867
Asian/Pacific Islander,82867
Asian/Pacific Islander,82926
Asian/Pacific Islander,83066
Asian/Pacific Islander,83312
Asian/Pacific Islander,83312
Asian/Pacific Islander,83350
Asian/Pacific Islander,83424
Asian/Pacific Islander,83425
Asian/Pacific Islander,83436
Asian/Pacific Islander,83437
Asian/Pacific Islander,83548
Asian/Pacific Islander,83548
Asian/Pacific Islander,83618
Asian/Pacific Islander,83780
Asian/Pacific Islander,83794
Asian/Pacific Islander,83794
Asian/Pacific Islander,83981
Asian/Pacific Islander,83981
Asian/Pacific Islander,84134
Asian/Pacific Islander,84134
Asian/Pacific Islander,84168
Asian/Pacific Islander,84168
Asian/Pacific Islander,84377
Asian/Pacific Islander,84377
Asian/Pacific Islander,84377
Asian/Pacific Islander,84377
Asian/Pacific Islander,84377
Asian/Pacific Islander,84439
Asian/Pacific Islander,84439
Asian/Pacific Islander,84485
Asian/Pacific Islander,84654
Asian/Pacific Islander,84699
Asian/Pacific Islander,84728
Asian/Pacific Islander,84976
Asian/Pacific Islander,85240
Asian/Pacific Islander,85240
Asian/Pacific Islander,85347
Asian/Pacific Islander,85347
Asian/Pacific Islander,85349
Asian/Pacific Islander,85430
Asian/Pacific Islander,85536
Asian/Pacific Islander,85553
Asian/Pacific Islander,85553
Asian/Pacific Islander,85931
Asian/Pacific Islander,86100
Asian/Pacific Islander,86100
Asian/Pacific Islander,86100
Asian/Pacific Islander,86100
Asian/Pacific Islander,86100
Asian/Pacific Islander,86100
Asian/Pacific Islander,86279
Asian/Pacific Islander,86279
Asian/Pacific Islander,86344
Asian/Pacific Islander,86344
Asian/Pacific Islander,86360
Asian/Pacific Islander,86530
Asian/Pacific Islander,86530
Asian/Pacific Islander,86681
Asian/Pacific Islander,86727
Asian/Pacific Islander,86727
Asian/Pacific Islander,86835
Asian/Pacific Islander,86917
Asian/Pacific Islander,86917
Asian/Pacific Islander,86968
Asian/Pacific Islander,87018
Asian/Pacific Islander,87018
Asian/Pacific Islander,87073
Asian/Pacific Islander,87203
Asian/Pacific Islander,87357
Asian/Pacific Islander,87448
Asian/Pacific Islander,87485
Asian/Pacific Islander,87750
Asian/Pacific Islander,87750
Asian/Pacific Islander,87754
Asian/Pacific Islander,87768
Asian/Pacific Islander,87858
Asian/Pacific Islander,87858
Asian/Pacific Islander,87858
Asian/Pacific Islander,87858
Asian/Pacific Islander,87913
Asian/Pacific Islander,88104
Asian/Pacific Islander,88400
Asian/Pacific Islander,88558
Asian/Pacific Islander,88587
Asian/Pacific Islander,88621
Asian/Pacific Islander,88621
Asian/Pacific Islander,88679
Asian/Pacific Islander,89222
Asian/Pacific Islander,89222
Asian/Pacific Islander,89600
